frase,emocao
Tudo faz sentido agora,felicidade
Me sinto parte de algo especial,felicidade
A bondade voltou a me visitar,felicidade
Sinto que estou fazendo a coisa certa,felicidade
A alegria se espalha por onde passo,felicidade
Hoje tudo parece estar no lugar,felicidade
A luz dentro de mim está forte,felicidade
O sorriso de quem amo me alegra,felicidade
A felicidade chegou e ficou,felicidade
O carinho me preenche por completo,felicidade
As coisas boas estão apenas começando,felicidade
Tenho vivido dias incríveis,felicidade
A paz tem sido minha maior conquista,felicidade
Estou cercado de tudo que me faz bem,felicidade
A simplicidade da vida me faz feliz,felicidade
A vida é um presente que abraço,felicidade
Meu dia começou com um sorriso,felicidade
Sinto uma alegria que me preenche,felicidade
A felicidade é uma escolha diária,felicidade
O momento presente é perfeito,felicidade
Estou vivendo o meu sonho,felicidade
O coração bate em ritmo de paz,felicidade
A gratidão transforma meu olhar,felicidade
O mundo é um lugar cheio de luz,felicidade
Sinto uma conexão com a natureza,felicidade
A leveza me acompanha sempre,felicidade
O futuro me espera com abraços,felicidade
Tudo flui com harmonia,felicidade
A alegria é a minha energia,felicidade
Encontrei a beleza em cada detalhe,felicidade
A vida me acolhe com carinho,felicidade
Meu espírito está em festa,felicidade
A felicidade é o ar que respiro,felicidade
Estou em êxtase com a simplicidade,felicidade
Apenas sinto uma gratidão imensa,felicidade
O mundo parece um jardim hoje,felicidade
A vida me ensina a sorrir,felicidade
O coração está em plena celebração,felicidade
A felicidade é meu lar,felicidade
Agradeço por ser quem sou,felicidade
Estou radiante de vida,felicidade
A vida é um presente mágico,felicidade
A alegria é o meu mapa,felicidade
Meu dia está cheio de bênçãos,felicidade
Sinto uma positividade crescente,felicidade
A vida me guia para o bem,felicidade
A felicidade é o melhor remédio,felicidade
Estou em paz com o universo,felicidade
A alegria de viver é contagiante,felicidade
O mundo é um lugar acolhedor,felicidade
A vida é feita de momentos felizes,felicidade
Sinto-me completo e feliz,felicidade
A felicidade é uma realidade,felicidade
A vida é um poema de alegria,felicidade
Estou vivendo com propósito,felicidade
A alegria é minha única verdade,felicidade
Meu coração está cheio de cores,felicidade
A vida é uma jornada de amor,felicidade
A felicidade é a melhor opção,felicidade
O riso é o som da minha alma,felicidade
A vida é bela e gentil,felicidade
A alegria me sustenta,felicidade
Estou no paraíso,felicidade
A vida é um milagre vivo,felicidade
Sinto-me protegido e amado,felicidade
A felicidade me ilumina,felicidade
A vida é um presente,felicidade
A alegria me aquece,felicidade
Estou feliz com minhas conquistas,felicidade
A felicidade é meu escudo,felicidade
A vida é um doce,felicidade
A alegria me renova a cada amanhecer,felicidade
Sinto um bem-estar total,felicidade
A vida é um espetáculo,felicidade
A felicidade é um estado de graça,felicidade
A alegria me fortalece,felicidade
Meu coração está leve,felicidade
A vida é uma dádiva,felicidade
A felicidade é a rota,felicidade
A alegria é a chave,felicidade
Estou muito grato pela vida,felicidade
A felicidade é o meu caminho,felicidade
A alegria me transforma,felicidade
Sinto uma paz interior que me acalma,felicidade
A vida é uma festa,felicidade
A felicidade é meu refúgio,felicidade
A alegria me faz brilhar,felicidade
Meu coração é puro contentamento,felicidade
A vida é uma bênção,felicidade
A felicidade é o que me move,felicidade
A alegria é minha razão de ser,felicidade
Estou em êxtase,felicidade
A vida é um paraíso,felicidade
A felicidade me protege,felicidade
A alegria me guia,felicidade
Sinto-me realizado,felicidade
A vida é um sonho bom,felicidade
A felicidade é real e palpável,felicidade
A alegria me ilumina,felicidade
Meu coração está em festa,felicidade
A vida é um presente incrível,felicidade
A felicidade é a melhor sensação,felicidade
A alegria me enche de vida,felicidade
Sinto-me livre e feliz,felicidade
A vida é maravilhosa e cheia de luz,felicidade
A felicidade é a resposta,felicidade
A alegria é a verdade,felicidade
Estou vivendo o sonho,felicidade
A vida é pura felicidade,felicidade
A felicidade me faz voar,felicidade
A alegria é o meu poder,felicidade
Meu coração está leve e solto,felicidade
A vida é um mar de alegria,felicidade
A felicidade é o meu destino,felicidade
A alegria me rodeia,felicidade
Sinto uma paz que acalma,felicidade
A vida é um presente,felicidade
A felicidade está dentro de mim,felicidade
A alegria é meu escudo,felicidade
Estou no topo do mundo,felicidade
A vida é uma jornada feliz,felicidade
A felicidade é o meu lar,felicidade
A alegria é a minha força,felicidade
Meu coração está em paz,felicidade
A vida é um sopro de alegria,felicidade
A felicidade é o meu caminho,felicidade
A alegria é a minha canção,felicidade
Acordei com vontade de viver o dia,felicidade
O céu está lindo e me inspira,felicidade
Meu coração está tranquilo,felicidade
A energia do dia está maravilhosa,felicidade
Hoje estou rodeado de boas vibrações,felicidade
Estou aproveitando cada segundo,felicidade
Tudo está leve ao meu redor,felicidade
A positividade me acompanha,felicidade
Estou cercado de sorrisos verdadeiros,felicidade
A paz que sinto é imensa,felicidade
O dia começou com um abraço,felicidade
Sinto orgulho de quem me tornei,felicidade
A alegria me encontrou novamente,felicidade
Hoje estou mais forte e mais feliz,felicidade
Estou grato por tudo que conquistei,felicidade
A felicidade me envolve por completo,felicidade
A luz do sol me enche de esperança,felicidade
A vida está sorrindo para mim,felicidade
Meus amigos me fazem bem,felicidade
A presença de quem amo me fortalece,felicidade
Estou cercado de amor verdadeiro,felicidade
Hoje meu coração está em festa,felicidade
Tudo parece estar se encaixando,felicidade
A serenidade me preenche,felicidade
O dia está repleto de boas surpresas,felicidade
Meu sorriso é espontâneo,felicidade
As boas lembranças me visitam,felicidade
Estou com o coração em paz,felicidade
A felicidade está presente em tudo,felicidade
Me sinto renovado por dentro,felicidade
A vida me presenteou com alegria,felicidade
Tudo está mais bonito hoje,felicidade
A simplicidade do dia me encanta,felicidade
Sinto gratidão em cada detalhe,felicidade
A alegria é constante no meu peito,felicidade
Tenho vontade de abraçar o mundo,felicidade
Estou vivendo o melhor momento,felicidade
Me sinto seguro e tranquilo,felicidade
A fé me guia com amor,felicidade
O presente tem sido generoso,felicidade
A natureza me inspira e acalma,felicidade
Me sinto protegido pelo universo,felicidade
A felicidade chegou sem esforço,felicidade
O vento leve me traz paz,felicidade
Cada passo tem mais firmeza,felicidade
Meu coração vibra com boas notícias,felicidade
O sorriso das pessoas me alegra,felicidade
Estou rodeado de carinho,felicidade
A bondade está em cada gesto,felicidade
Me sinto em sintonia com tudo,felicidade
A alegria me invade ao acordar,felicidade
A tranquilidade se faz presente,felicidade
O mundo parece mais acolhedor,felicidade
Me sinto cheio de vida,felicidade
Estou colhendo frutos de amor,felicidade
A cada dia me sinto mais feliz,felicidade
Estou fervendo de ódio,raiva
Meu sangue está a ponto de explodir,raiva
Não aguento mais essa situação,raiva
A frustração me consome por dentro,raiva
Sinto um calor intenso de fúria,raiva
Quebrou minha paciência,raiva
Estou furioso com o que aconteceu,raiva
Meus punhos estão cerrados,raiva
A raiva me cega,raiva
Não posso acreditar na sua atitude,raiva
Isso me tira do sério,raiva
Sinto um desprezo profundo,raiva
A injustiça me revolta,raiva
Meu coração está em chamas,raiva
Estou perdendo o controle,raiva
Sua falsidade me enoja,raiva
A vontade é de gritar,raiva
A fúria me domina,raiva
Não me provoque mais,raiva
Estou à beira do ataque,raiva
Minha cabeça vai explodir,raiva
A raiva me queima,raiva
Não tolero essa falta de respeito,raiva
Sinto vontade de quebrar tudo,raiva
Essa situação é revoltante,raiva
A fúria é meu combustível,raiva
Estou no meu limite,raiva
Meu corpo treme de raiva,raiva
Não consigo me acalmar,raiva
Isso é inaceitável,raiva
O ódio me cega,raiva
Não suporto mais ouvir isso,raiva
A raiva me paralisa,raiva
Estou com nojo dessa mentira,raiva
Meu temperamento está no topo,raiva
Não me peça calma,raiva
A raiva é minha única emoção,raiva
Sinto uma fúria incontrolável,raiva
Isso me deixa louco,raiva
A paciência acabou,raiva
A raiva me sufoca,raiva
Estou cansado de ser tratado assim,raiva
Isso é uma afronta,raiva
A raiva está no meu peito,raiva
Não vou perdoar isso,raiva
Estou possesso de raiva,raiva
A raiva me cega para tudo,raiva
Isso me dá nojo,raiva
A fúria me consome,raiva
Não me atrevo a falar,raiva
Estou prestes a explodir,raiva
A raiva é minha sombra,raiva
Sinto um ódio crescente,raiva
A raiva me faz mal,raiva
Não posso acreditar nisso,raiva
Estou em um estado de raiva pura,raiva
A raiva é minha verdade,raiva
Isso é ridículo,raiva
A raiva me domina,raiva
Não quero te ver mais,raiva
Estou fora de mim,raiva
A raiva me transforma,raiva
Sinto um desprezo,raiva
A raiva é meu veneno,raiva
Não há mais nada a dizer,raiva
Estou cheio de raiva,raiva
A raiva me destrói,raiva
Isso é intolerável,raiva
A raiva me domina,raiva
Não posso me acalmar,raiva
Estou com raiva,raiva
A raiva me paralisa,raiva
Isso é inaceitável,raiva
A raiva me consome,raiva
Não suporto mais,raiva
Estou no meu limite,raiva
A raiva me queima,raiva
Isso é revoltante,raiva
A raiva me cega,raiva
Não me peça calma,raiva
Estou furioso,raiva
A raiva é minha única emoção,raiva
Sinto uma fúria incontrolável,raiva
Isso me deixa louco,raiva
A paciência acabou,raiva
A raiva me sufoca,raiva
Estou cansado de ser tratado assim,raiva
Isso é uma afronta,raiva
A raiva está no meu peito,raiva
Não vou perdoar isso,raiva
Estou possesso de raiva,raiva
A raiva me cega para tudo,raiva
Isso me dá nojo,raiva
A fúria me consome,raiva
Não me atrevo a falar,raiva
Estou prestes a explodir,raiva
A raiva é minha sombra,raiva
Sinto um ódio crescente,raiva
A raiva me faz mal,raiva
Não posso acreditar nisso,raiva
Estou em um estado de raiva pura,raiva
A raiva é minha verdade,raiva
Isso é ridículo,raiva
A raiva me domina,raiva
Não quero te ver mais,raiva
Estou fora de mim,raiva
A raiva me transforma,raiva
Sinto um desprezo,raiva
A raiva é meu veneno,raiva
Não há mais nada a dizer,raiva
Estou cheio de raiva,raiva
A raiva me destrói,raiva
Isso é intolerável,raiva
Estou à beira do colapso,raiva
A fúria me cega completamente,raiva
Não me toque agora,raiva
Isso é uma afronta pessoal,raiva
Minha paciência se esgotou,raiva
Sinto uma raiva que me consome,raiva
A injustiça me tira do sério,raiva
Quero explodir de frustração,raiva
Não aguento mais suas mentiras,raiva
A raiva me deixa sem ar,raiva
Estou tremendo de ódio,raiva
Você me tirou a paz,raiva
A vontade é de gritar alto,raiva
Sua atitude é inaceitável,raiva
Estou cheio de ressentimento,raiva
A raiva me transforma em outra pessoa,raiva
Isso é revoltante,raiva
Não há perdão para isso,raiva
Sinto um desprezo profundo,raiva
A raiva é minha única companhia,raiva
Estou no limite do meu controle,raiva
A vida me irrita hoje,raiva
Sinto que vou perder a cabeça,raiva
A raiva me faz mal,raiva
Não suporto mais essa situação,raiva
Estou com nojo de tudo,raiva
A fúria me queima por dentro,raiva
Isso é um insulto,raiva
A raiva é meu veneno,raiva
Não consigo pensar direito,raiva
Estou possuído pela raiva,raiva
A raiva me cega para o bom senso,raiva
Isso é ridículo,raiva
A raiva me domina,raiva
Não me atrevo a falar,raiva
Estou a ponto de explodir,raiva
A raiva é minha sombra,raiva
Sinto um ódio crescente,raiva
A raiva me deixa louco,raiva
Não posso acreditar nisso,raiva
Estou em um estado de raiva pura,raiva
A raiva é minha verdade,raiva
Isso me dá nojo,raiva
A raiva me consome,raiva
Não quero te ver mais,raiva
Estou fora de mim,raiva
A raiva me transforma,raiva
Sinto um desprezo,raiva
A raiva é meu veneno,raiva
Não há mais nada a dizer,raiva
Estou cheio de raiva,raiva
A raiva me destrói,raiva
Isso é intolerável,raiva
A raiva me domina,raiva
Não posso me acalmar,raiva
Estou com raiva,raiva
A raiva me paralisa,raiva
Isso é inaceitável,raiva
A raiva me consome,raiva
Não suporto mais,raiva
Estou no meu limite,raiva
A raiva me queima,raiva
Isso é revoltante,raiva
A raiva me cega,raiva
Não me peça calma,raiva
Estou furioso,raiva
A raiva é minha única emoção,raiva
Sinto uma fúria incontrolável,raiva
Isso me deixa louco,raiva
A paciência acabou,raiva
A raiva me sufoca,raiva
Estou cansado de ser tratado assim,raiva
Isso é uma afronta,raiva
A raiva está no meu peito,raiva
Não vou perdoar isso,raiva
Estou possesso de raiva,raiva
A raiva me cega para tudo,raiva
Isso me dá nojo,raiva
A fúria me consome,raiva
Não me atrevo a falar,raiva
Estou prestes a explodir,raiva
A raiva é minha sombra,raiva
Sinto um ódio crescente,raiva
A raiva me faz mal,raiva
Não posso acreditar nisso,raiva
Estou em um estado de raiva pura,raiva
A raiva é minha verdade,raiva
Isso é ridículo,raiva
A raiva me domina,raiva
Não quero te ver mais,raiva
Estou fora de mim,raiva
A raiva me transforma,raiva
Sinto um desprezo,raiva
A raiva é meu veneno,raiva
Não há mais nada a dizer,raiva
Estou cheio de raiva,raiva
A raiva me destrói,raiva
Isso é intolerável,raiva
A raiva me domina,raiva
Não posso me acalmar,raiva
Estou com raiva,raiva
A raiva me paralisa,raiva
Isso é inaceitável,raiva
A raiva me consome,raiva
Não suporto mais,raiva
Estou no meu limite,raiva
Estou cansado de ser ignorado,raiva
Ninguém me escuta quando falo,raiva
Essa situação me tira do sério,raiva
Já perdi a paciência com tudo,raiva
As pessoas só sabem me irritar,raiva
Sinto que estou prestes a explodir,raiva
Estou cheio de falsidade ao meu redor,raiva
As coisas nunca saem como planejo,raiva
Nada funciona como deveria,raiva
O descaso me enfurece,raiva
A injustiça me deixa revoltado,raiva
Não aguento mais ser passado para trás,raiva
Essa demora me deixa louco,raiva
Falar com certas pessoas me esgota,raiva
A hipocrisia me dá nojo,raiva
Sinto vontade de gritar com o mundo,raiva
As mentiras me destroem por dentro,raiva
Estou cheio de promessas vazias,raiva
As pessoas abusam da minha paciência,raiva
Não aceito ser tratado desse jeito,raiva
Estou farto de esperar por respeito,raiva
Não tolero mais esse comportamento,raiva
Tudo que faço é ignorado,raiva
Me sinto usado e descartado,raiva
A raiva está me consumindo,raiva
Estou explodindo por dentro,raiva
Cada dia me irrita mais,raiva
Estou perdendo o controle de tudo,raiva
Ninguém entende o quanto isso me afeta,raiva
Estou preso num ciclo de frustração,raiva
Sinto vontade de sumir só de raiva,raiva
A forma como falam comigo me incomoda,raiva
O desprezo que recebo me destrói,raiva
As atitudes dos outros me enojam,raiva
Estou cansado de repetir sempre as mesmas coisas,raiva
Tudo o que escuto é desculpa,raiva
Não suporto mais essa situação,raiva
Minha paciência tem limite,raiva
Estou no meu limite emocional,raiva
Cada palavra falsa me fere,raiva
Queria poder mandar todos calarem a boca,raiva
Não é justo o que estão fazendo comigo,raiva
Estou cansado de ser o bonzinho,raiva
A raiva está me dominando,raiva
Ninguém liga para o que eu sinto,raiva
Me tratam como se eu fosse invisível,raiva
Não vou mais fingir que está tudo bem,raiva
Estou pronto para quebrar tudo,raiva
Essa discussão me tira o sono,raiva
A frieza das pessoas me fere,raiva
Estou cheio de desrespeito,raiva
Meus limites foram ultrapassados,raiva
Estou cansado de tanta falsidade,raiva
As críticas vazias me machucam,raiva
Não aguento mais engolir sapos,raiva
Estou fervendo de tanta raiva,raiva
O silêncio forçado me irrita,raiva
As promessas quebradas me destroem,raiva
Me sinto ridicularizado,raiva
Essa situação é inaceitável,raiva
Nada parece justo nessa história,raiva
Cansei de ser o último a ser lembrado,raiva
As provocações me tiram do sério,raiva
Não suporto mais a falta de empatia,raiva
O egoísmo das pessoas me revolta,raiva
Não aceito ser feito de bobo,raiva
Estou cansado de aguentar calado,raiva
As atitudes alheias me afetam demais,raiva
Me sinto excluído de propósito,raiva
A raiva me faz querer sumir,raiva
Estou sendo pressionado até explodir,raiva
Ninguém valoriza o que faço,raiva
A indiferença me consome,raiva
Queria bater de frente com todos,raiva
A falta de consideração é revoltante,raiva
Tudo está desmoronando e ninguém se importa,raiva
Estou sufocado por tanta raiva,raiva
Ninguém me respeita como deveria,raiva
Cansei de ser compreensivo,raiva
A decepção virou ódio,raiva
O descaso virou revolta,raiva
Me ignoram como se eu fosse nada,raiva
Não quero mais fingir que estou calmo,raiva
Minha paciência se esgotou,raiva
Sinto ódio quando lembro do que fizeram,raiva
As promessas quebradas me marcaram,raiva
Quero distância de gente falsa,raiva
Estou à beira de um ataque de nervos,raiva
Não consigo mais esconder minha irritação,raiva
Me arrependo de confiar em certas pessoas,raiva
O desprezo que recebi virou raiva,raiva
A insensibilidade me revolta,raiva
Sinto ódio por tudo que perdi,raiva
As palavras duras ainda ecoam em mim,raiva
Estou no limite da minha sanidade,raiva
Queria poder sumir só para não explodir,raiva
A raiva virou minha companhia,raiva
Me sinto ignorado por quem mais importava,raiva
As atitudes dos outros me fazem mal,raiva
Me sinto enganado e traído,raiva
Estou irritado com tudo,raiva
Nada do que faço é suficiente,raiva
A frustração está me matando,raiva
A raiva tem sido constante,raiva
Estou cansado de correr atrás,raiva
A falta de retorno me enlouquece,raiva
Me sinto ofendido o tempo todo,raiva
A ingratidão me deixa doente,raiva
Sinto que todos estão contra mim,raiva
Não suporto mais ser ignorado,raiva
Tudo que ouço me irrita,raiva
Estou carregando um peso que não é meu,raiva
As palavras malditas não saem da minha cabeça,raiva
Não quero mais manter a calma,raiva
Tudo ao meu redor me estressa,raiva
Estou cansado de dar o melhor por nada,raiva
Ninguém me leva a sério,raiva
Cansei de ser compreensivo com quem não merece,raiva
A mágoa virou raiva com o tempo,raiva
Não consigo confiar em mais ninguém,raiva
Sinto vontade de gritar até perder a voz,raiva
A raiva está me dominando devagar,raiva
Me sinto um idiota por acreditar,raiva
A injustiça me destrói por dentro,raiva
Estou sempre sendo deixado de lado,raiva
A raiva que sinto é incontrolável,raiva
Queria me vingar de tudo,raiva
Estou cansado de ser manipulado,raiva
Nada me acalma mais,raiva
O que fizeram comigo é imperdoável,raiva
Sinto ódio por cada mentira contada,raiva
A raiva me tira o sono todas as noites,raiva
Tudo parece querer me tirar do eixo,raiva
Estou cercado de pessoas que me irritam,raiva
O abuso de confiança me revolta,raiva
A raiva cresce a cada minuto,raiva
Estou preso em pensamentos de revolta,raiva
Ninguém entende minha indignação,raiva
A raiva é mais forte do que eu,raiva
O desprezo virou rancor,raiva
Não consigo esquecer o que me fizeram,raiva
Sinto raiva até de mim mesmo,raiva
O mundo parece querer me provocar,raiva
A raiva tomou conta do meu peito,raiva
A cada lembrança a raiva volta,raiva
Cansei de pedir desculpas,raiva
Estou sendo testado o tempo todo,raiva
A raiva me faz perder o controle,raiva
Me sinto desvalorizado,raiva
O desrespeito ultrapassou os limites,raiva
Estou cheio de situações mal resolvidas,raiva
A falta de diálogo me enlouquece,raiva
Me sinto cercado de provocação,raiva
A paciência virou pó,raiva
Cansei de engolir palavras,raiva
A raiva me consome em silêncio,raiva
Estou gritando por dentro,raiva
O caos virou rotina,raiva
Não suporto mais a mesma desculpa,raiva
Sinto um frio na barriga constante,medo  
Não sei o que vai acontecer amanhã,medo  
Tenho medo do desconhecido,medo  
A insegurança me paralisa,medo  
O futuro parece incerto e assustador,medo  
Sinto que algo ruim vai acontecer,medo  
Não consigo dormir pensando no pior,medo  
O medo me domina sem aviso,medo  
Tenho receio de fracassar,medo  
Sinto que não estou preparado,medo  
O silêncio me assusta,medo  
Sinto medo de perder quem amo,medo  
Não confio nas pessoas ao meu redor,medo  
Tenho medo de ser rejeitado,medo  
A ansiedade me consome,medo  
Sinto que estou sempre à beira do perigo,medo  
O medo me impede de avançar,medo  
Tenho medo do que os outros vão pensar,medo  
O desconhecido me assusta demais,medo  
Sinto um nó na garganta,medo  
Tenho medo de errar,medo  
Sinto que algo ruim vai acontecer,medo  
Tenho medo de tomar a decisão errada,medo  
O silêncio me faz tremer,medo  
Não consigo controlar minha ansiedade,medo  
Tenho medo de falhar mais uma vez,medo  
A escuridão me assusta profundamente,medo  
Sinto calafrios só de pensar no futuro,medo  
Tenho medo de não conseguir mudar,medo  
Minha mente não para de pensar no pior,medo  
Me sinto observado mesmo estando sozinho,medo  
Tenho medo de ser esquecido por todos,medo  
O medo aperta meu peito sem avisar,medo  
Não consigo confiar em ninguém,medo  
Sinto que estou sendo seguido,medo  
Tenho medo de perder o pouco que tenho,medo  
O medo me impede de tentar,medo  
Me sinto pequeno diante do desconhecido,medo  
A cada noite minha insegurança cresce,medo  
Tenho medo de ficar para sempre assim,medo  
Sinto que ninguém entende o que sinto,medo  
A solidão me apavora,medo  
Tenho medo de ser deixado para trás,medo  
O escuro traz pensamentos ruins,medo  
Não consigo enfrentar meus próprios pensamentos,medo  
Tenho medo de encarar meus erros,medo  
O medo toma conta da minha respiração,medo  
Sinto que tudo vai desabar,medo  
Tenho medo do que as pessoas pensam de mim,medo  
A sensação de impotência me destrói,medo  
Tenho medo de nunca ser feliz,medo  
Sinto meu coração acelerar sem motivo,medo  
O mundo parece um lugar perigoso,medo  
Tenho medo de abrir meu coração,medo  
A cada passo fico mais tenso,medo  
Tenho medo de que tudo acabe,medo  
Sinto que algo me prende e não consigo sair,medo  
O medo me faz duvidar de tudo,medo  
Tenho medo de perder o controle das emoções,medo  
Não sei como seguir em frente,medo  
A incerteza me deixa paralisado,medo  
Tenho medo de decepcionar as pessoas,medo  
Sinto que estou sempre prestes a cair,medo  
Tenho medo de confiar e me machucar,medo  
O medo me impede de viver plenamente,medo  
Meus pensamentos são cheios de preocupação,medo  
Tenho medo de mostrar quem realmente sou,medo  
Sinto que estou sozinho contra tudo,medo  
O medo me acompanha em silêncio,medo  
Tenho medo de mudanças repentinas,medo  
Sinto que algo ruim está à espreita,medo  
Tenho medo de nunca alcançar meus sonhos,medo  
Não consigo me libertar desse sentimento,medo  
O medo me faz evitar as pessoas,medo  
Tenho medo de repetir os mesmos erros,medo  
Sinto medo até de coisas simples,medo  
Tenho medo de que ninguém me entenda,medo  
A ansiedade me prende em mim mesmo,medo  
Tenho medo de não conseguir sair dessa,medo  
O medo tomou conta dos meus dias,medo  
Tenho medo do julgamento constante,medo  
Sinto que estou sempre fugindo de algo,medo  
Tenho medo do que sou capaz de fazer,medo  
A vida parece um campo minado,medo  
Tenho medo de amar e ser ferido,medo  
Sinto medo do tempo passar rápido demais,medo  
Tenho medo de nunca encontrar paz,medo  
Cada barulho me assusta,medo  
Tenho medo de perder minha sanidade,medo  
Sinto que estou cercado por perigos,medo  
Tenho medo do que carrego dentro de mim,medo  
O medo me impede de me expressar,medo  
Tenho medo de me arrepender para sempre,medo  
Sinto que não há saída,medo  
Tenho medo de não conseguir ajudar quem amo,medo  
O medo é um peso constante no meu peito,medo  
Tenho medo de não ser suficiente,medo  
O escuro me faz imaginar o pior,medo  
Tenho medo de falhar com quem confia em mim,medo  
Sinto medo de tudo que não posso controlar,medo  
Tenho medo de perder meu caminho,medo  
A insegurança me tira o sono,medo  
Tenho medo de viver sem propósito,medo  
Sinto medo de não conseguir mudar meu destino,medo  
Tenho medo de ser deixado por quem amo,medo  
O medo me isola das pessoas,medo  
Tenho medo de nunca me libertar disso,medo  
Sinto medo de decepcionar a mim mesmo,medo  
Tenho medo do que o amanhã reserva,medo  
O medo me faz hesitar em tudo,medo  
Tenho medo de não saber lidar com a dor,medo  
Sinto que o medo controla minha vida,medo  
Tenho medo do escuro dentro de mim,medo  
O medo me faz questionar tudo,medo  
Tenho medo de mostrar minhas fraquezas,medo  
Sinto medo do desconhecido que se aproxima,medo  
Tenho medo de não ter forças para continuar,medo  
O medo se esconde em cada pensamento,medo  
Tenho medo de fracassar de novo,medo  
Sinto que tudo pode desmoronar a qualquer momento,medo  
Tenho medo de enfrentar as consequências,medo  
O medo me impede de viver o presente,medo  
Tenho medo de não ter controle sobre minha vida,medo  
Sinto medo daquilo que não entendo,medo  
Tenho medo de ficar preso em mim mesmo,medo  
O medo me acompanha em todos os lugares,medo  
Tenho medo de que todos me abandonem,medo  
Sinto medo ao acordar todos os dias,medo  
Tenho medo de não conseguir ser quem quero,medo  
O medo toma conta do meu corpo,medo  
Tenho medo do silêncio dos outros,medo  
Sinto que o medo está dentro de mim,medo  
Tenho medo de me arrepender por não tentar,medo  
O medo me faz sentir fraco,medo  
Tenho medo de encarar meu passado,medo  
Sinto medo do que posso descobrir,medo  
Tenho medo de falhar com quem amo,medo  
O medo rouba minha paz,medo  
Tenho medo de dizer o que sinto,medo  
Sinto medo até mesmo da felicidade,medo  
Tenho medo de ser deixado de lado,medo  
O medo me faz sentir invisível,medo  
Tenho medo de não ser lembrado,medo  
Sinto medo de me perder de mim mesmo,medo  
Tenho medo de que tudo isso não tenha sentido,medo  
O medo me prende onde estou,medo  
Tenho medo de nunca alcançar a liberdade,medo  
Sinto medo das minhas próprias escolhas,medo  
Tenho medo do que me tornei,medo  
O medo me impede de olhar para frente,medo  
Tenho medo de nunca encontrar meu lugar,medo  
Sinto medo de perder tudo de novo,medo  
Tenho medo de nunca ser compreendido,medo  
O medo me faz calar quando quero gritar,medo  
Tenho medo de ser quem realmente sou,medo  
Sinto medo de viver uma mentira,medo  
Tenho medo de não suportar a dor,medo  
O medo me impede de confiar nas pessoas,medo  
Tenho medo do que o tempo vai levar,medo  
Sinto medo daquilo que amo desaparecer,medo  
Tenho medo de acordar e tudo ter mudado,medo  
O medo não me deixa respirar em paz,medo  
Tenho medo de ser esquecido,medo  
Sinto medo de olhar para dentro,medo  
Tenho medo de não conseguir me levantar,medo  
O medo me impede de tentar mais uma vez,medo  
Tenho medo de nunca ser feliz de verdade,medo  
Sinto medo de cair e não me levantar,medo  
Tenho medo de viver no automático,medo  
O medo me sufoca sem piedade,medo  
Tenho medo de não ser quem esperam que eu seja,medo  
O medo aparece quando mais preciso de coragem,medo  
Sinto medo de confiar e ser machucado,medo  
Tenho medo de falhar mesmo tentando tudo,medo  
As noites parecem mais longas quando tenho medo,medo  
O medo me faz esconder quem realmente sou,medo  
Tenho medo de ser esquecido pelas pessoas que amo,medo  
Sinto medo do tempo passar rápido demais,medo  
O medo está presente até nos meus sonhos,medo  
Tenho medo de nunca alcançar o que desejo,medo  
Às vezes o medo me faz querer desistir,medo  
Tenho medo de viver sem propósito,medo  
Sinto medo de perder minha essência,medo  
Tenho medo do silêncio que me cerca,medo  
O medo me faz duvidar das minhas escolhas,medo  
Tenho medo de olhar nos olhos da verdade,medo  
Sinto medo de tudo que não entendo,medo  
Tenho medo de que tudo seja em vão,medo  
O medo me faz sentir pequeno em um mundo gigante,medo  
Tenho medo de me abrir e não ser ouvido,medo  
Sinto que o medo me impede de viver,medo  
Tenho medo de enfrentar quem me faz mal,medo  
O medo me prende mesmo quando estou livre,medo  
Tenho medo de não me encontrar mais,medo  
Sinto medo daquilo que carrego em silêncio,medo  
Tenho medo de repetir os erros do passado,medo  
O medo está sempre à espreita,medo  
Tenho medo de que tudo que amo acabe,medo  
Sinto medo de tomar decisões importantes,medo  
Tenho medo do amanhã me surpreender de forma ruim,medo  
O medo mora nos detalhes do dia a dia,medo  
Tenho medo do vazio que cresce dentro de mim,medo  
Sinto medo de sair e não voltar mais,medo  
Tenho medo de não saber lidar com a perda,medo  
O medo caminha ao meu lado todos os dias,medo  
Tenho medo do que não posso mudar,medo  
Sinto medo do julgamento das pessoas,medo  
Tenho medo de nunca me libertar da culpa,medo  
O medo é um visitante que nunca vai embora,medo  
Tenho medo de perder meu valor,medo  
Sinto medo de depender dos outros,medo  
Tenho medo de demonstrar fraqueza,medo  
O medo me paralisa quando preciso agir,medo  
Tenho medo de ser frágil demais,medo  
Sinto medo de ser traído outra vez,medo  
Tenho medo de não conseguir me perdoar,medo  
O medo me impede de arriscar,medo  
Tenho medo de viver algo que não mereço,medo  
Sinto medo de que tudo acabe de repente,medo  
Tenho medo do que não posso prever,medo  
O medo me faz duvidar até do que é certo,medo  
Tenho medo de ficar para sempre onde estou,medo  
Sinto medo de estar perdendo tempo,medo  
Tenho medo de ser descartado,medo  
O medo se esconde nos detalhes,medo  
Tenho medo de me tornar alguém que não reconheço,medo  
Sinto medo de não conseguir mais sorrir,medo  
Tenho medo de que ninguém veja minha dor,medo  
O medo se disfarça de prudência,medo  
Tenho medo de ser invisível para quem amo,medo  
